Los Angeles County,Indian Springs Continuation,597
Los Angeles County,International Studies Learning Center at Legacy High School Complex,598
Los Angeles County,Jack London Community Day,599
Los Angeles County,James A. Garfield Senior High,600
Los Angeles County,James J. McBride Special Education Center,601
Los Angeles County,James Monroe High,602
Los Angeles County,Jane Addams Continuation,603
Los Angeles County,John C. Fremont Senior High,604
Los Angeles County,John F. Kennedy High,605
Los Angeles County,John H. Francis Polytechnic,606
Los Angeles County,John Marshall Senior High,607
Los Angeles County,John R. Wooden High,608
Los Angeles County,Joseph Pomeroy Widney High,609
Los Angeles County,King/Drew Medical Magnet High,610
Los Angeles County,Leadership in Entertainment and Media Arts (LEMA),611
Los Angeles County,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,612
Los Angeles County,Linda Esperanza Marquez High B LIBRA Academy,613
Los Angeles County,Linda Esperanza Marquez High C School of Social Justice,614
Los Angeles County,Los Angeles Academy of Arts & Enterprise Charter,615
Los Angeles County,Los Angeles Big Picture High,616
Los Angeles County,Los Angeles Center for Enriched Studies,617
Los Angeles County,Los Angeles Leadership Academy,618
Los Angeles County,Los Angeles River at Sonia Sotomayor Learning Academies,619
Los Angeles County,Los Angeles Senior High,620
Los Angeles County,Los Angeles Unified Alternative Education,621
Los Angeles County,Lou Dantzler Preparatory Charter High,622
Los Angeles County,Magnolia Science Academy 2,623
Los Angeles County,Magnolia Science Academy 3,624
Los Angeles County,Magnolia Science Academy 4,625
Los Angeles County,Magnolia Science Academy 5,626
Los Angeles County,Manual Arts Senior High,627
Los Angeles County,"Math, Science, & Technology Magnet Academy at Roosevelt High",628
Los Angeles County,Maywood Academy High,629
Los Angeles County,Metropolitan Continuation,630
Los Angeles County,Middle College High,631
Los Angeles County,Middle College High (Alternative),632
Los Angeles County,Miguel Leonis Continuation,633
Los Angeles County,Mission Continuation,634
Los Angeles County,Moneta Continuation,635
Los Angeles County,Monterey Continuation,636
Los Angeles County,Mt. Lukens Continuation,637
Los Angeles County,Nathaniel Narbonne Senior High,638
Los Angeles County,New Designs Charter School-Watts,639
Los Angeles County,New Village Girls Academy,640
Los Angeles County,North Hollywood Senior High,641
Los Angeles County,North Valley Military Institute College Preparatory Academy,642
Los Angeles County,Northridge Academy High,643
Los Angeles County,Odyssey Continuation,644
Los Angeles County,Orthopaedic Hospital,645
Los Angeles County,Oscar De La Hoya Animo Charter High,646
Los Angeles County,PUC CA Academy for Liberal Studies Early College High,647
Los Angeles County,PUC Community Charter Middle and PUC Community Charter Early College High,648
Los Angeles County,PUC Early College Academy for Leaders and Scholars (ECALS),649
Los Angeles County,PUC Lakeview Charter High,650
Los Angeles County,PUC Triumph Charter High,651
Los Angeles County,Palisades Charter High,652
Los Angeles County,Palisades Senior High,653
Los Angeles County,Panorama High,654
Los Angeles County,Performing Arts Community at Diego Rivera Learning Complex,655
Los Angeles County,Phineas Banning Senior High,656
Los Angeles County,Phoenix Continuation,657
Los Angeles County,Port of Los Angeles High,658
Los Angeles County,Public Service Community at Diego Rivera Learning Complex,659
Los Angeles County,RFK Community Schools- for the Visual Arts and Humanities,660
Los Angeles County,RFK Community Schools-Ambassador-Global Leadership,661
Los Angeles County,RFK Community Schools-Los Angeles High School of the Arts,662
Los Angeles County,RFK Community Schools-New Open World Academy K-12,663
Los Angeles County,RFK Community Schools-UCLA Community K-12,664
Los Angeles County,Ramon C. Cortines School of Visual and Performing Arts,665
Los Angeles County,Rancho Dominguez Preparatory,666
Los Angeles County,Renaissance Academy Charter High,667
Los Angeles County,Renaissance Arts Academy,668
Los Angeles County,Reseda Senior High,669
Los Angeles County,Richard A. Alonzo Community Day,670
Los Angeles County,Robert H. Lewis Continuation,671
Los Angeles County,STEM Academy at Bernstein High,672
Los Angeles County,San Fernando Senior High,673
Los Angeles County,San Pedro Senior High,674
Los Angeles County,Santee Education Complex,675
Los Angeles County,School of Business and Tourism at Contreras Learning Complex,676
Los Angeles County,School of Engineering and Technology,677
Los Angeles County,School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,678
Los Angeles County,School of Law & Government at Roosevelt High,679
Los Angeles County,"School of Science, Technology, Engineering & Math (STEM) at Roosevelt High",680
Los Angeles County,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",681
