detainer_detention_facility,county,city,state,uniqueid
CLAY COUNTY JAIL,Clay County,HAYESVILLE,NC,d832
CLAY COUNTY JAIL,Clay County,HENRIETTA,TX,d833
CLAY COUNTY JAIL,Clay County,LIBERTY,MO,d834
CLAY COUNTY JAIL,Clay County,PIGGOTT,AR,d835
CLAY COUNTY JAIL,Clay County,VERMILLION,SD,d836
CLAY COUNTY JAIL,Clay County,WEST POINT,MS,d837
CLAY COUNTY JUSTICE CENTER,Clay County,BRAZIL,IN,d838
CLAY COUNTY JUVENILE,Clay County,LIBERTY,MO,d839
CLAY COUNTY SHERIFF,Clay County,CELINA,TN,d840
CLAY COUNTY SHERIFF,Clay County,FORT GAINES,GA,d841
CLAYTON COUNTY JAIL,Clayton County,JONESBORO,GA,d842
CLAYTON COUNTY JAIL,Clayton County,ST. OLAF,IA,d843
CLEAR CREEK COUNTY JAIL,Clear Creek County,GEORGETOWN,CO,d844
"CLEARFIELD CO. JAIL, PA",Clearfield County,CLEARFIELD,PA,d845
CLEARWATER COUNTY JAIL,Clearwater County,BAGLEY,MN,d846
CLEBURNE COUNTY JAIL,Cleburne County,HEBER SPRINGS,AR,d847
CLEBURNE COUNTY JAIL,Cleburne County,HEFLIN,AL,d848
CLERMONT COUNTY JAIL,Clermont County,BATAVIA,OH,d849
CLEVELAND COUNTY JAIL,Cleveland County,RISON,AR,d850
CLEVELAND COUNTY JAIL,Cleveland County,SHELBY,NC,d851
"CLEVELAND COUNTY, NORMAN",Cleveland County,NORMAN,OK,d852
CLEVELAND HGTS. CITY JAIL,Cuyahoga County,CLEVELAND HGTS,OH,d853
CLEVELAND HOLD ROOM,Cuyahoga County,CLEVELAND,OH,d854
CLEVELAND POLICE DEPT.,Cuyahoga County,CLEVELAND,OH,d855
CLEVELAND POLICE DEPT.,Liberty County,CLEVELAND,TX,d856
CLINCH COUNTY SHERIFF,Clinch County,HOMERVILLE,GA,d857
CLINTON C.F. DANNEMMORA,Clinton County,DANNEMMORA,NY,d858
CLINTON COUNTY CORR. FAC.,Clinton County,MCELHATTAN,PA,d859
CLINTON COUNTY JAIL,Clinton County,CARLYLE,IL,d860
CLINTON COUNTY JAIL,Clinton County,CLINTON,IA,d861
CLINTON COUNTY JAIL,Clinton County,FRANKFORT,IN,d862
CLINTON COUNTY JAIL,Clinton County,PLATTSBURG,MO,d863
CLINTON COUNTY JAIL,Clinton County,PLATTSBURGH,NY,d864
CLINTON COUNTY JAIL,Clinton County,ST. JOHNS,MI,d865
CLINTON COUNTY JAIL,Clinton County,WILMINGTON,OH,d866
CLOUD COUNTY JAIL,Cloud County,CONCORDIA,KS,d867
CLUTE POLICE DEPT.,Brazoria County,CLUTE,TX,d868
CMCCLAIN COUNTY SHERIFF/JAIL,McClain County,PURCELL,OK,d869
CMF-VACAVILLE,Solano County,VACAVILLE,CA,d870
COASTAL BEND DET. FACILITY,Nueces County,ROBSTOWN,TX,d871
COBB COUNTY JAIL,Cobb County,MARIETTA,GA,d872
COCHISE CO JAIL BISBEE AZ,Cochise County,BISBEE,AZ,d873
COCHISE COUNTY CHILD CENT,Cochise County,HUACHUCA CITY,AZ,d874
COCHRAN COUNTY JAIL,Cochran County,MORTON,TX,d875
COCKE COUNTY JAIL,Cocke County,NEWPORT,TN,d876
COCONINO CO DETENTION FACILITY,Coconino County,FLAGSTAFF,AZ,d877
"CODINGTON CO. JAIL, SD",Codington County,WATERTOWN,SD,d878
COFFEE COUNTY JAIL,Coffee County,MANCHESTER,TN,d879
COFFEE COUNTY JAIL,Coffee County,NEW BROCKTON,AL,d880
COFFEE COUNTY SHERIFF,Coffee County,DOUGLAS,GA,d881
COFFEE CREEK C.F.,Clackamas County,WILSONVILLE,OR,d882
COFFEY COUNTY SHERIFF'S OFFICE,Coffey County,BURLINGTON,KS,d883
COLBERT COUNTY JAIL,Colbert County,TUSCUMBIA,AL,d884
COLEMAN COUNTY SHERIFF,Coleman County,COLEMAN,TX,d885
COLEMAN FCI,Sumter County,COLEMAN,FL,d886
COLEMAN FCI,Sumter County,SUMTERVILLE,FL,d887
COLES COUNTY JAIL,Coles County,CHARLESTON,IL,d888
COLFAX CO JAIL,Colfax County,SCHUYLER,NE,d889
COLFAX COUNTY DET CTR,Colfax County,RATON,NM,d890
COLLEGE STATION POLICE DEPT.,Brazos County,COLLEGE STATION,TX,d891
COLLETON COUNTY JAIL,Colleton County,WALTERBORO,SC,d892
COLLIER COUNTY SHERIFF,Collier County,NAPLES,FL,d893
COLLIERVILLE POLICE DEPT.,Shelby County,COLLIERVILLE,TN,d894
COLLIN COUNTY JAIL,Collin County,MCKINNEY,TX,d895
COLLINGSWORTH COUNTY SHERIFF,Collingsworth County,WELLINGTON,TX,d896
COLLINS C.F.,Erie County,COLLINS,NY,d897
COLO DEPT OF CORRECTIONS,El Paso County,COLORADO SPRINGS,CO,d898
COLOMBIA COUNTY JAIL,Columbia County,HUDSON,NY,d899
COLORADO COUNTY JAIL,Colorado County,COLUMBUS,TX,d900
COLQUITT COUNTY JAIL,Colquitt County,MOULTRIE,GA,d901
COLUMBIA ANNEX-WORK CAMP,Columbia County,LAKE CITY,FL,d902
COLUMBIA CARE CENTER,Richland County,COLUMBIA,SC,d903
"COLUMBIA CORR. PORTAGE,WI",Columbia County,PORTAGE,WI,d904
COLUMBIA CORRECTIONAL INSTITUTION,Columbia County,LAKE CITY,FL,d905
COLUMBIA COUNTY JAIL,Columbia County,BLOOMSBURG,PA,d906
COLUMBIA COUNTY JAIL,Columbia County,LAKE CITY,FL,d907
COLUMBIA COUNTY JAIL,Columbia County,MAGNOLIA,AR,d908
COLUMBIA COUNTY JAIL,Columbia County,ST. HELENS,OR,d909
COLUMBIA COUNTY SHERIFF,Columbia County,APPLING,GA,d910
COLUMBIA COUNTY SHERIFF,Columbia County,PORTAGE,WI,d911
COLUMBIA COUNTY SHERIFF/JAIL,Columbia County,DAYTON,WA,d912
COLUMBIA RIVER CORR INST,Multnomah County,PORTLAND,OR,d913
"COLUMBIA, SC HOLDROOM",Richland County,COLUMBIA,SC,d914
COLUMBIANA COUNTY JAIL,Columbiana County,LISBON,OH,d915
COLUMBUS COUNTY JAIL,Columbus County,WHITEVILLE,NC,d916
COLUMBUS POLICE DEPT.,Colorado County,COLUMBUS,TX,d917
COLUMBUS POLICE DEPT.,Franklin County,COLUMBUS,OH,d918
COLUSA COUNTY JAIL,Colusa County,COLUSA,CA,d919
COMAL CTY JAIL,Comal County,NEW BRAUNFELS,TX,d920
COMANCHE CO LAW ENFOR CTR,Comanche County,COMMANCHE,TX,d921
"COMANCHE COUNTY, LAWTON,",Comanche County,LAWTON,OK,d922
COMFORT INN,Alamosa County,ALAMOSA,CO,d923
COMMERCE CITY - CITY JAIL,Adams County,COMMERCE CITY,CO,d924
COMMERCE POLICE DEPT.,Hunt County,COMMERCE,TX,d925
CONCHO COUNTY SHERIFF,Concho County,PAINT ROCK,TX,d926
CONCORDIA PARISH C C,Concordia Parish,FERRIDAY,LA,d927
CONECUH COUNTY JAIL,Conecuh County,EVERGREEN,AL,d928
CONEJOS COUNTY JAIL,Conejos County,CONEJOS,CO,d929
"CONNER CC, HOMINY, OK",Osage County,HOMINY,OK,d930
CONROE POLICE DEPT.,Montgomery County,CONROE,TX,d931
CONTRA COSTA CO JAIL/WEST,Contra Costa County,RICHMOND,CA,d932
CONTRA COSTA CO. JAIL,Contra Costa County,MARTINEZ,CA,d933
CONTRA COSTA JUV. PROBATION,Contra Costa County,CONCORD,CA,d934
CONVERSE COUNTY JAIL,Converse County,DOUGLAS,WY,d935
CONWAY COUNTY JAIL,Conway County,MORRILTON,AR,d936
"COOK CO. JAIL, MN",Cook County,GRAND MARAIS,MN,d937
COOK COUNTY HOSPITAL,Cook County,CHICAGO,IL,d938
COOK COUNTY JAIL,Cook County,CHICAGO,IL,d939
COOK COUNTY SHERIFF,Cook County,ADEL,GA,d940
"COOK INLET PRETRIAL, ANCH",Anchorage Borough,ANCHORAGE,AK,d941
COOKE COUNTY JAIL,Cooke County,GAINSVILLE,TX,d942
COOPER STREET CORR. FACILITY,Jackson County,JACKSON,MI,d943
COOS CO. JAIL,Coos County,COQUILLE,OR,d944
COOS COUNTY JAIL,Coos County,WEST STEWARDTOW,NH,d945
COOSA COUNTY JAIL,Coosa County,ROCKFORD,AL,d946
COPIAH COUNTY JAIL,Copiah County,GALLMAN,MS,d947
COPPELL POLICE DEPT.,Dallas County,COPPELL,TX,d948
CORINTH CITY JAIL,Alcorn County,CORINTH,MS,d949
CORPUS CHRISTI CITY MARSHAL'S,Nueces County,CORPUS CHRISTI,TX,d950
CORPUS CHRISTI FACILITY,Nueces County,CORPUS CHRISTI,TX,d951
CORPUS CHRISTI POLICE DEPT.,Nueces County,CORPUS CHRISTI,TX,d952
CORR. CORP. OF AMERICA,Leavenworth County,LEAVENWORTH,KS,d953
CORR. CTR OF NORTHWEST OH,Williams County,STRYKER,OH,d954
CORR.CORP.OF AMERICA - SAN DIEGO,San Diego County,SAN DIEGO,CA,d955
CORRECTIONAL INDUSTRIAL FACILITY,Madison County,PENDLETON,IN,d956
CORRECTIONAL RECEPTION,Pickaway County,ORIENT,OH,d957
CORRECTIONS MEDICAL CENTE,Franklin County,COLUMBUS,OH,d958
CORRIGAN CORR INST,New London County,UNCASVILLE,CT,d959
CORRIGAN POLICE DEPT.,Polk County,CORRIGAN,TX,d960
CORTLAND COUNTY JAIL,Cortland County,CORTLAND,NY,d961
CORYELL COUNTY JAIL,Coryell County,COPPERAS COVE,TX,d962
COSHOCTON COUNTY JAIL,Coshocton County,COSHOCTON,OH,d963
COSTA MESA CITY JAIL,Orange County,COSTA MESA,CA,d964
COSTA MESA COLLEGE HOSP,Orange County,COSTA MESA,CA,d965
COSTILLA COUNTY JAIL,Costilla County,SAN LUIS,CO,d966
"COTTON COUNTY, WALTERS OK",Cotton County,WALTERS,OK,d967
COTTONWOOD COUNTY JAIL,Cottonwood County,WINDOM,MN,d968
COUNTY OF UNION JUV DET CENTER,Union County,LINDEN,NJ,d969
COVINA POLICE DEPT.,Los Angeles County,COVINA,CA,d970
COVINGTON COUNTY JAIL,Covington County,ANDALUSIA,AL,d971
COVINGTON COUNTY JAIL,Covington County,COLLINS,MS,d972
COWETA COUNTY SHERIFF,Coweta County,NEWNAN,GA,d973
COWLEY COUNTY JAIL,Cowley County,WINFIELD,KS,d974
COWLITZ CO. JUV. DET.,Cowlitz County,LONGVIEW,WA,d975
COWLITZ COUNTY JAIL,Cowlitz County,LONGVIEW,WA,d976
COXSACKIE CF  W.COXSACKIE,Greene County,W. COXSACKIE,NY,d977
COYOTE RIDGE CORRECTIONS,Franklin County,CONNELL,WA,d978
CRAIG COUNTY JAIL,Craig County,VINITA,OK,d979
CRAIG HOLDROOM,Moffat County,CRAIG,CO,d980
CRAIGHEAD COUNTY JAIL,Craighead County,JONESBORO,AR,d981
CRANE COUNTY SHERIFF'S DEPT.,Crane County,CRANE,TX,d982
CRAVEN CORRECTIONAL INSTITUTION,Craven County,VANCEBORO,NC,d983
CRAVEN COUNTY JAIL,Craven County,NEW BERN,NC,d984
"CRAWFORD CO, GRAYLING,MI.",Crawford County,GRAYLING,MI,d985
CRAWFORD COUNTY JAIL,Crawford County,BYCYRUS,OH,d986
CRAWFORD COUNTY JAIL,Crawford County,DENISON,IA,d987
CRAWFORD COUNTY JAIL,Crawford County,VAN BUREN,AR,d988
"CRAWFORD COUNTY JAIL, PA",Crawford County,MEADVILLE,PA,d989
CRAWFORD COUNTY SHERIFF,Crawford County,GIRARD,KS,d990
CRAWFORD COUNTY SHERIFF,Crawford County,KNOXVILLE,GA,d991
CRAWFORD COUNTY SHERIFF,Crawford County,PRAIRIE DU CHIEN,WI,d992
CREEK COUNTY SHERIFF/JAIL,Creek County,SAPULPA,OK,d993
CRENSHAW COUNTY JAIL,Crenshaw County,LUVERNE,AL,d994
CRESTWOOD POLICE DEPARTMENT,Cook County,CRESTWOOD,IL,d995
CRESTWOOD POLICE DEPT.,St. Louis County,CRESTWOOD,MO,d996
CREVE COEUR POLICE DEPT.,St. Louis County,CREVE COEUR,MO,d997
CRISP COUNTY SHERIFF,Crisp County,CORDELE,GA,d998
CRITTENDEN COUNTY DET CENTER,Crittenden County,MARION,KY,d999
CRITTENDEN COUNTY DET CTR,Crittenden County,WEST MEMPHIS,AR,d1000
CROCKETT COUNTY SHERIFF,Crockett County,OZONA,TX,d1001
"CROCKETT COUNTY, TN SHERIFF/JAIL",Crockett County,ALAMO,TN,d1002
CROCKETT POLICE DEPT.,Houston County,CROCKETT,TX,d1003
CROOK COUNTY JAIL,Crook County,PRINEVILLE,OR,d1004
CROOK COUNTY JAIL,Crook County,SUNDANCE,WY,d1005
CROSBY COUNTY SHERIFF,Crosby County,CROSBYTON,TX,d1006
CROSS CITY CORRECTIONAL,Dixie County,CROSS CITY,FL,d1007
CROSSROADS YTH & FAM SERVICES,Victoria County,VICTORIA,TX,d1008
CROW WING COUNTY JAIL,Crow Wing County,BRAINERD,MN,d1009
CROWLEY COUNTY JAIL,Crowley County,ORDWAY,CO,d1010
CROWLEY POLICE DEPT.,Tarrant County,CROWLEY,TX,d1011
CRYSTAL CITY CORR. CENTER,Zavala County,CRYSTAL CITY,TX,d1012
CSC SO.FULTON MUNIC.JAIL,Fulton County,UNION CITY,GA,d1013
CSP-CORCORAN,Kings County,CORCORAN,CA,d1014
CSP-SACRAMENTO,Sacramento County,FOLSOM,CA,d1015
CSP-SACRAMENTO,Sacramento County,REPRESA,CA,d1016
CSP-SAN QUENTIN,Marin County,SAN QUENTIN,CA,d1017
CSP-SOLANO,Solano County,VACAVILLE,CA,d1018
CTF-SOLEDAD,Monterey County,SOLEDAD,CA,d1019
CULBERSON COUNTY SHERIFF'S,Culberson County,VAN HORN,TX,d1020
CULLMAN COUNTY JAIL,Cullman County,CULLMAN,AL,d1021
CULPEPER CO. ADULT DET. CENTER,Culpeper County,CULPEPER,VA,d1022
CULVER CITY POLICE DEPT.,Los Angeles County,CULVER CITY,CA,d1023
"CUMBERLAND CNTY JAIL, PA",Cumberland County,CARLISLE,PA,d1024
CUMBERLAND COUNTY JAIL,Cumberland County,BRIDGETON,NJ,d1025
CUMBERLAND COUNTY JAIL,Cumberland County,CROSSVILLE,TN,d1026
CUMBERLAND COUNTY JAIL,Cumberland County,FAYETTEVILLE,NC,d1027
CUMBERLAND COUNTY JAIL,Cumberland County,PORTLAND,ME,d1028
CUMBERLAND COUNTY JAIL,Cumberland County,TOLEDO,IL,d1029
CUMBERLAND FCI,Allegany County,CUMBERLAND,MD,d1030
CURRAN FROMHOLD CORR.FAC.,Philadelphia County,PHILADELPHIA,PA,d1031
CURRITUCK COUNTY JAIL,Currituck County,MAPLE,NC,d1032
CURRY COUNTY DET FAC,Curry County,CLOVIS,NM,d1033
CURRY COUNTY JAIL,Curry County,GOLD BEACH,OR,d1034
CUSTER COUNTY JAIL,Custer County,BROKEN BOW,NE,d1035
CUSTER COUNTY JAIL,Custer County,CHALLIS,ID,d1036
CUSTER COUNTY JAIL,Custer County,MILES CITY,MT,d1037
CUSTER COUNTY SHERIFF OFFICE,Custer County,WESTCLIFF,CO,d1038
CUSTER COUNTY SHERIFF/JAIL,Custer County,ARAPAHO,OK,d1039
CUYAHOGA COUNTY JAIL,Cuyahoga County,CLEVELAND,OH,d1040
CUYAHOGA HILLS JUVENILE,Cuyahoga County,CLEVELAND,OH,d1041
CYBULSKI CORR INST,Tolland County,SOMERS,CT,d1042
CYPRESS POLICE DEPT.,Orange County,CYPRESS,CA,d1043
Cabarrus County Jail,Cabarrus County,CONCORD,NC,d1044
D. RAY JAMES PRISON,Charlton County,FOLKSTON,GA,d1045
D.E. LONG JUV.DETENTION,Multnomah County,PORTLAND,OR,d1046
DADE CORRECTIONAL INST,Miami-Dade County,FLORIDA CITY,FL,d1047
DADE COUNTY CORRECTIONAL,Miami-Dade County,MIAMI,FL,d1048
DADE COUNTY JAIL,Dade County,GREENFIELD,MO,d1049
DADE COUNTY JAIL,Dade County,TRENTON,GA,d1050
"DAKOTA CO. JAIL, MN",Dakota County,HASTINGS,MN,d1051
DAKOTA COUNTY JAIL,Dakota County,DAKOTA CITY,NE,d1052
DALBY CORRECTIONAL INSTITUTE,Garza County,POST,TX,d1053
DALE COUNTY JAIL,Dale County,OZARK,AL,d1054
DALHIA STREET YOUTH CENTE,Denver County,DENVER,CO,d1055
DALLAM COUNTY SHERIFF,Dallam County,DALHART,TX,d1056
DALLAS COUNT JAIL,Dallas County,FORDYCE,AR,d1057
DALLAS COUNTY JAIL,Dallas County,DALLAS,TX,d1058
DALLAS COUNTY JAIL,Dallas County,SELMA,AL,d1059
DALLAS COUNTY SHERIFF'S OFFICE,Dallas County,ADEL,IA,d1060
DALLAS F.O. HOLD,Dallas County,DALLAS,TX,d1061
DALWORTHINGTON GARDENS POL. DEPT.,Tarrant County,ARLINGTON,TX,d1062
DANBURY FED.CORR.INST.,Fairfield County,DANBURY,CT,d1063
DANBURY POLICE DEPT.,Brazoria County,DANBURY,TX,d1064
DANBURY POLICE DEPT.,Fairfield County,DANBURY,CT,d1065
DANE COUNTY JAIL,Dane County,MADISON,WI,d1066
DANVILLE CITY JAIL,Danville City,DANVILLE,VA,d1067
DANVILLE CITY JAIL FARM,Danville City,DANVILLE,VA,d1068
DANVILLE CORRECTIONAL CENTER,Vermilion County,DANVILLE,IL,d1069
DANVILLE CORRECTIONS,Vermilion County,DANVILLE,IL,d1070
DAPHNE POLICE DEPT CORR CENTER,Baldwin County,DAPHNE,AL,d1071
DARE COUNTY JAIL,Dare County,MANTEO,NC,d1072
DARKE COUNTY JAIL,Darke County,GREENVILLE,OH,d1073
DARLINGTON COUNTY DET CENTER,Darlington County,DARLINGTON,SC,d1074
"DAUPHIN CNTY JAIL, PA",Dauphin County,HARRISBURG,PA,d1075
DAVID WADE CORRECTIONAL INSTITUTE,Claiborne Parish,HOMER,LA,d1076
DAVIDSON CO. SHERIFF DEPT,Davidson County,NASHVILLE,TN,d1077
DAVIDSON COUNTY JAIL,Davidson County,LEXINGTON,NC,d1078
DAVIE COUNTY JAIL,Davie County,MOCKSVILLE,NC,d1079
DAVIESS COUNTY JAIL,Daviess County,WASHINGTON,IN,d1080
DAVIS CO. JAIL,Davis County,FARMINGTON,UT,d1081
"DAVISON COUNTY, SD",Davison County,MITCHELL,SD,d1082
DAWSON CO. DET. CENTER,Dawson County,DAWSONVILLE,GA,d1083
DAWSON COUNTY JAIL,Dawson County,GLENDIVE,MT,d1084
DAWSON COUNTY JAIL,Dawson County,LAMESA,TX,d1085
DAWSON COUNTY JAIL,Dawson County,LEXINGTON,NE,d1086
DAYBREAK RUNAWAY,Montgomery County,DAYTON,OH,d1087
DAYTON CORRECTIONAL INST.,Montgomery County,DAYTON,OH,d1088
DAYTON HUMAN REHAB,Montgomery County,DAYTON,OH,d1089
DAYTON POLICE DEPT.,Liberty County,DAYTON,TX,d1090
DC DEPT OF CORRECTIONS,District of Columbia,WASHINGTON,DC,d1091
DE WITT COUNTY JAIL,DeWitt County,CUERO,TX,d1092
DEAF SMITH COUNTY SHERIFF,Deaf Smith County,HEREFORD,TX,d1093
DEARBORN HEIGHTS POLICE DEPT.,Wayne County,DEARBORN HEIGHTS,MI,d1094
DEARBORN POLICE DEPT.,Wayne County,DEARBORN,MI,d1095
DECATUR CITY JAIL,Morgan County,DECATUR,AL,d1096
DECATUR CORRECTIONAL CENTER,Macon County,DECATUR,IL,d1097
DECATUR COUNTY JAIL,Decatur County,BAINBRIDGE,GA,d1098
DECATUR COUNTY SHERIFF/JAIL,Decatur County,DECATURVILLE,IL,d1099
DECATUR POLICE DEPT.,Wise County,DECATUR,TX,d1100
DEDHAM POLICE DEPT,Norfolk County,DEDHAM,MA,d1101
DEER PARK POLICE DEPT.,Harris County,DEER PARK,TX,d1102
DEER RIDGE COR. FAC.,Jefferson County,MADRAS,OR,d1103
DEFIANCE COUNTY JAIL,Defiance County,DEFIANCE,OH,d1104
DEKALB CO JAIL,DeKalb County,DECATUR,GA,d1105
DEKALB COUNTY DETENTION CENTER,DeKalb County,FORT PAYNE,AL,d1106
DEKALB COUNTY JAIL,De Kalb County,AUBURN,IN,d1107
DEKALB COUNTY JAIL,DeKalb County,DECATUR,GA,d1108
DEKALB COUNTY JAIL,DeKalb County,FT PAYNE,AL,d1109
DEKALB COUNTY JAIL,DeKalb County,SYCAMORE,IL,d1110
DEKALB COUNTY SHERIFF,DeKalb County,SMITHVILLE,TN,d1111
DEL AMO PSYCHIATRIC HOSPITAL,Los Angeles County,TORRANCE,CA,d1112
DEL NORTE CO JAIL,Del Norte County,CRESCENT CITY,CA,d1113
DEL RIO DRO HOLD ROOM,Val Verde County,DEL RIO,TX,d1114
DELANEY HALL DETENTION FACILITY,Essex County,NEWARK,NJ,d1115
DELAWARE CO JAIL,Delaware County,THORNTON,PA,d1116
DELAWARE CO. JUVI CENTER,Delaware County,MEDIA,PA,d1117
DELAWARE CORRECTION CENTE,Kent County,SMYRNA,DE,d1118
DELAWARE COUNTY JAIL,Delaware County,DELAWARE,OH,d1119
DELAWARE COUNTY JAIL,Delaware County,DELHI,NY,d1120
DELAWARE COUNTY JAIL,Delaware County,MANCHESTER,IA,d1121
DELAWARE COUNTY JAIL,Delaware County,MUNCIE,IN,d1122
DELAWARE COUNTY SHERIFF/JAIL,Delaware County,JAY,OK,d1123
DELTA COUNTY JAIL,Delta County,COOPER,TX,d1124
DELTA COUNTY JAIL,Delta County,DELTA,CO,d1125
DENNY JUV CENTER-SNOHOMISH CO,Snohomish County,EVERETT,WA,d1126
DENTON CITY JAIL,Denton County,DENTON,TX,d1127
DENTON COUNTY JAIL,Denton County,DENTON,TX,d1128
DENVER CONTRACT DET. FAC.,Arapahoe County,AURORA,CO,d1129
DENVER COUNTY JAIL,Denver County,DENVER,CO,d1130
DENVER HOLD ROOM,Denver County,DENVER,CO,d1131
DENVER JUSTICE CENTER,Denver County,DENVER,CO,d1132
DEPARTMENT OF CORRECTIONS,Guam,Mangilao,GU,d1133
DEPT OF CORRECTIONS-HAGATNA,Guam,HAGATNA,GU,d1134
DES MOINES COUNTY JAIL,Des Moines County,BURLINGTON,IA,d1135
DES MOINES HOLD ROOM,Polk County,DES MOINES,IA,d1136
DES PERES DPS,St. Louis County,DES PERES,MO,d1137
DES PLAINES POLICE DEPARTMENT,Cook County,DES PLAINES,IL,d1138
DESCANSO DETENTION FAC.,San Diego County,ALPINE,CA,d1139
DESCHUTES CO JAIL,Deschutes County,BEND,OR,d1140
DESERT VIEW,San Bernardino County,ADELANTO,CA,d1141
DESOTO CORRECTIONAL,DeSoto County,ARCADIA,FL,d1142
DESOTO COUNTY JAIL,DeSoto County,ARCADIA,FL,d1143
DESOTO COUNTY JAIL,DeSoto County,HERNANDO,MS,d1144
DESOTO PARISH DETENTION CENTER,De Soto Parish,MANSFIELD,LA,d1145
DESOTO REGIONAL JAIL,Dallas County,DESOTO,TX,d1146
DET PD 11TH PREC.,Wayne County,DETROIT,MI,d1147
DET PD 12TH PREC.,Wayne County,DETROIT,MI,d1148
DET PD 3RD PREC,Wayne County,DETROIT,MI,d1149
DET PD 4TH PREC.,Wayne County,DETROIT,MI,d1150
DET PD 5TH PREC.,Wayne County,DETROIT,MI,d1151
DET PD 9TH PREC.,Wayne County,DETROIT,MI,d1152
"DET RECEIVING HOSP,DET,MI",Wayne County,DETROIT,MI,d1153
DETROIT DETENTION CENTER,Wayne County,DETROIT,MI,d1154
DETROIT POLICE 1ST PCT.,Wayne County,DETROIT,MI,d1155
"DETROIT POLICE DEPT, 2ND PCT",Wayne County,DETROIT,MI,d1156
DETROIT REENTRY CENTER,Wayne County,DETROIT,MI,d1157
DEUEL VOCATIONAL INSTITUT,San Joaquin County,TRACY,CA,d1158
DEVENS FMC,Middlesex County,AYER,MA,d1159
DEVILS LAKE LAW ENF CENTR,Ramsey County,DEVILS LAKE,ND,d1160
DEWEY COUNTY SHERIFF/JAIL,Dewey County,TALOGA,OK,d1161
DEWITT COUNTY JAIL,De Witt County,CLINTON,IL,d1162
DGH WARD 18,Denver County,DENVER,CO,d1163
DHS/ICE/DRO,Guaynabo County,GUAYNABO,PR,d1164
DIAMONDBACK CORR FACILITY,Blaine County,WATONGA,OK,d1165
DICKENS COUNTY DET. CENTER,Dickens County,SPUR,TX,d1166
"DICKINSON CO.,IRON MT.,MI",Dickinson County,IRON MOUNTAIN,MI,d1167
DICKINSON COUNTY JAIL,Dickinson County,ABILENE,KS,d1168
DICKINSON COUNTY JAIL,Dickinson County,SPIRIT LAKE,IA,d1169
DICKINSON POLICE DEPT.,Galveston County,DICKINSON,TX,d1170
DICKSON COUNTY JAIL,Dickson County,CHARLOTTE,TN,d1171
DILLON COUNTY JAIL,Dillon County,DILLON,SC,d1172
DIMMIT COUNTY JAIL BEN MURRAY LEC,Dimmit County,CARRIZO SPRINGS,TX,d1173
DIXIE COUNTY JAIL,Dixie County,CROSS CITY,FL,d1174
DIXON CORRECTIONAL CENTER,Lee County,DIXON,IL,d1175
DIXON CORRECTIONAL INST,East Feliciana Parish,JACKSON,LA,d1176
DIXON COUNTY JAIL,Dixon County,PONCA,NE,d1177
"DODGE CORR INSTITUTE, WAU",Dodge County,WAUPUN,WI,d1178
DODGE COUNTY JAIL,Dodge County,FREMONT,NE,d1179
"DODGE COUNTY JAIL, JUNEAU",Dodge County,JUNEAU,WI,d1180
DODGE COUNTY SHERIFF,Dodge County,EASTMAN,GA,d1181
DOLTON POLICE DEPT.,Cook County,DOLTON,IL,d1182
DONA ANA COUNTY DETENTION FACILITY,Dona Ana County,LAS CRUCES,NM,d1183
DONALDSON CORRECTIONAL FACILITY,Jefferson County,BESSEMER,AL,d1184
DONIPHAN COUNTY SHERIFF'S OFFICE,Doniphan County,TROY,KS,d1185
DONLEY COUNTY SHERIFF,Donley County,CLARENDON,TX,d1186
DONNA POLICE DEPT.,Hidalgo County,DONNA,TX,d1187
DOOLY COUNTY SHERIFF,Dooly County,PINEHURST,GA,d1188
DOOR COUNTY SHERIFF,Door County,STURGEON BAY,WI,d1189
DORAVILLE CITY JAIL,DeKalb County,DORAVILLE,GA,d1190
DORCHESTER CO DET CNTR,Dorchester County,CAMBRIDGE,MD,d1191
DORCHESTER COUNTY DET CENTER,Dorchester County,ST. GEORGE,SC,d1192
DORCHESTER COUNTY JAIL ANNEX,Dorchester County,SUMMERVILLE,SC,d1193
DOTHAN CITY JAIL,Houston County,DOTHAN,AL,d1194
DOUGHERTY COUNTY JAIL,Dougherty County,ALBANY,GA,d1195
DOUGLAS CO JUV DET SVCES,Douglas County,OMAHA,NE,d1196
DOUGLAS CO. JAIL,Douglas County,ROSEBURG,OR,d1197
DOUGLAS CO. MN,Douglas County,ALEXANDRIA,MN,d1198
DOUGLAS CO. WISCONSIN,Douglas County,SUPERIOR,WI,d1199
DOUGLAS COUNTY CORRECTION,Douglas County,OMAHA,NE,d1200
DOUGLAS COUNTY DETENTION CENTER,Douglas County,CASTLE ROCK,CO,d1201
DOUGLAS COUNTY DETENTION FACILITY,Douglas County,CASTLE ROCK,CO,d1202
DOUGLAS COUNTY JAIL,Douglas County,MINDEN,NV,d1203
DOUGLAS COUNTY SHERIFF,Douglas County,DOUGLASVILLE,GA,d1204
DOUGLAS COUNTY SHERIFF/JAIL,Douglas County,TUSCOLA,IL,d1205
DOVER HOLDROOM,Kent County,DOVER,DE,d1206
DOVER POLICE DEPT.,Kent County,DOVER,DE,d1207
DOWNEY POLICE DEPT.,Los Angeles County,DOWNEY,CA,d1208
"DOWNSTATE CF, FISHKILL",Dutchess County,FISHKILL,NY,d1209
DREW COUNTY JAIL,Drew County,MONTICELLO,AR,d1210
