detainer_detention_facility,county,city,state,uniqueid
WACKENHUT FACILITY,Bexar County,SAN ANTONIO,TX,d4262
WACO DRO HOLD ROOM,McLennan County,WACO,TX,d4263
WADE CORRECTIONAL INSTIT,Claiborne Parish,HOMER,LA,d4264
WAGONER COUNTY SHERIFF/JAIL,Wagoner County,WAGONER,OK,d4265
WAHKIAKUM COUNTY JAIL,Wahkiakum County,CATHLAMET,WA,d4266
WAKE COUNTY JUV. DET. CENTER,Wake County,RALEIGH,NC,d4267
WAKE COUNTY SHERIFF DEPT.,Wake County,RALEIGH,NC,d4268
WAKULLA ANNEX,Wakulla County,CRAWFORDVILLE,FL,d4269
WAKULLA CORRECTIONAL INSTITUTION,Wakulla County,CRAWFORDVILLE,FL,d4270
WAKULLA COUNTY JAIL,Wakulla County,CRAWFORDVILLE,FL,d4271
WALDO COUNTY JAIL,Waldo County,BELFAST,ME,d4272
WALKER COUNTY JAIL,Walker County,HUNTSVILLE,TX,d4273
WALKER COUNTY JAIL,Walker County,JASPER,AL,d4274
WALKER COUNTY JAIL,Walker County,LAFAYETTE,GA,d4275
WALKER REC CTR,Hartford County,SUFFIELD,CT,d4276
WALLA WALLA COUNTY,Walla Walla County,WALLA WALLA,WA,d4277
WALLENS RIDGE STATE PRISON,Wise County,BIG STONE GAP,VA,d4278
"WALLER COUNTY CONSTABLE, PCT. 3",Waller County,HEMPSTEAD,TX,d4279
WALLER COUNTY SHERIFF,Waller County,HEMPSTEAD,TX,d4280
WALLER POLICE DEPT.,Waller County,WALLER,TX,d4281
WALLINGFORD POLICE DEPT.,New Haven County,WALLINGFORD,CT,d4282
WALSH COUNTY JAIL,Walsh County,GRAFTON,ND,d4283
WALTHALL COUNTY SHERIFF,Walthall County,TYLERTOWN,MS,d4284
WALTHAM POLICE DEPT.,Middlesex County,WALTHAM,MA,d4285
WALTON COUNTY D.O.C.,Walton County,DEFUNIAK SPRINGS,FL,d4286
WALTON COUNTY JAIL,Walton County,MONROE,GA,d4287
WALWORTH COUNTY JAIL,Walworth County,ELKHORN,WI,d4288
WAPATO CITY PD,Yakima County,WAPATO,WA,d4289
WAPELLO COUNTY JAIL,Wapello County,OTTUMWA,IA,d4290
WARD COUNTY JAIL,Ward County,MINOT,ND,d4291
"WARD CTY JAIL, MONAHANS",Ward County,MONAHANS,TX,d4292
WARE COUNTY SHERIFF,Ware County,WAYCROSS,GA,d4293
WARM SPRINGS COR. FAC.,Jefferson County,WARM SPRINGS,OR,d4294
WARNER CREEK COR. FAC.,Lake County,LAKEVIEW,OR,d4295
WARREN CITY JAIL,Trumbull County,WARREN,OH,d4296
WARREN CORRECTIONAL,Warren County,LEBANON,OH,d4297
WARREN COUNTY DET. CENTER,Warren County,VICKSBURG,MS,d4298
WARREN COUNTY JAIL,Warren County,BELVIDERE,NJ,d4299
WARREN COUNTY JAIL,Warren County,INDIANOLA,IA,d4300
WARREN COUNTY JAIL,Warren County,LAKE GEORGE,NY,d4301
WARREN COUNTY JAIL,Warren County,LEBANON,OH,d4302
WARREN COUNTY JAIL,Warren County,MCMINNVILLE,TN,d4303
WARREN COUNTY JAIL,Warren County,MONMOUTH,IL,d4304
WARREN COUNTY JAIL,Warren County,WARREN,PA,d4305
WARREN COUNTY JAIL,Warren County,WARRENTON,NC,d4306
WARREN COUNTY JUSTICE CTR,Warren County,WARRENTON,MO,d4307
WARREN COUNTY REGIONAL,Warren County,BOWLING GREEN,KY,d4308
WARRENSBURG POLICE DEPT.,Johnson County,WARRENSBURG,MO,d4309
WARRENVILLE POLICE DEPT.,DuPage County,WARRENVILLE,IL,d4310
WARRICK COUNTY JAIL,Warrick County,BOONVILLE,IN,d4311
WASATCH COUNTY JAIL,Wasatch County,HEBER CITY,UT,d4312
WASCO COUNTY JAIL,Wasco County,THE DALLES,OR,d4313
WASCO STATE PRISON,Kern County,WASCO,CA,d4314
"WASECA COUNTY JAIL, MN",Waseca County,WASECA,MN,d4315
WASECA FED.CORR.INST.,Waseca County,WASECA,MN,d4316
WASHAKIE COUNTY JAIL,Washakie County,WORLAND,WY,d4317
WASHBURN COUNTY SHERIFF,Washburn County,SHELL LAKE,WI,d4318
"WASHINGTON CO JAIL, BLAIR",Washington County,BLAIR,NE,d4319
WASHINGTON CO. DETENTION,Washington County,HAGERSTOWN,MD,d4320
